K,loss,BIC
1,72093751.89645682,72151183.88704309
2,67657438.24001598,67771683.17286126
3,67172277.92442784,67343335.79953215
4,67165724.35489802,67393595.17226134
5,66544862.60049452,66829546.360116854
6,66565200.45031303,66906697.15219438
7,66329771.84462193,66728081.48876229
8,66336267.04504039,66791389.631439775
9,66322714.99045455,66834650.519112945
10,66252969.856649525,66821718.32756694
11,66271116.15355782,66896677.566734254
12,66263686.80362104,66946061.159056485
13,66169670.87874701,66908858.17644147
14,66170586.68204215,66966586.921995625
15,65949951.222267956,66802764.40448045
16,66054986.654263504,66964612.77873501
17,66084261.96045798,67050701.0271885
18,66143193.94652221,67166445.95551175
19,65830469.38456041,66910534.33580897
20,65786120.677176036,66922998.570683606
